Feature,Covered,Defining Type,UML Standard,Filtered
end,true,[Abstract] ConnectableElement,true,false
selection,true,ObjectFlow,true,true
joinSpec,true,JoinNode,true,true
_classifierOfOwnedUseCase,true,UseCase,false,true
_linkEndDataOfEnd,true,Property,false,false
classifier,true,InstanceSpecification,true,true
ownedReception,true,Class,true,true
isID,true,Property,true,true
execution,true,ExecutionOccurrenceSpecification,true,true
_replyActionOfReplyToCall,true,Trigger,false,false
trigger,true,Transition,true,true
_interactionOperandOfGuard,true,InteractionConstraint,false,true
owningAssociation,true,Property,true,true
owningSignal,true,Property,true,true
successorClause,true,Clause,true,true
signature,true,TemplateParameter,true,true
insertAt,true,AddStructuralFeatureValueAction,true,true
protectedNode,true,ExceptionHandler,true,true
appliedProfile,true,ProfileApplication,true,true
target,true,[Abstract] ActivityEdge,true,true
_collaborationUseOfRoleBinding,true,Dependency,false,true
powertype,true,GeneralizationSet,true,true
_protocolTransitionOfReferred,false,Operation,false,false
element,true,ElementValue,true,true
decisionInputFlow,true,DecisionNode,true,true
effect,true,Parameter,true,true
ownedParameter,true,TemplateSignature,true,true
parameteredElement__from_ConnectableElementTemplateParameter,true,ConnectableElementTemplateParameter,true,false
taggedValue,true,[Abstract] Element,true,true
_linkEndCreationDataOfInsertAt,true,InputPin,false,false
association,true,ClearAssociationAction,true,true
isComposite,true,Property,true,false
_directedRelationshipOfSource,true,[Abstract] Element,false,false
_elementTaggedValue,true,[Abstract] Element,false,false
_protocolTransitionOfPreCondition,true,Constraint,false,true
_interactionUseOfRefersTo,true,Interaction,false,false
deferrableTrigger,true,State,true,true
kind,true,Connector,true,false
postCondition,true,ProtocolTransition,true,true
templateParameter__from_ConnectableElement,true,[Abstract] ConnectableElement,true,false
_valueSpecificationActionOfResult,true,OutputPin,false,true
classifier,true,ReadIsClassifiedObjectAction,true,true
_behavioralFeatureOfOwnedParameterSet,true,ParameterSet,false,true
alias,true,ElementImport,true,true
body,true,OpaqueBehavior,true,true
bodyOutput,true,LoopNode,true,true
firstEvent,true,TimeConstraint,true,true
finish,true,[Abstract] ExecutionSpecification,true,true
endType,true,Association,true,false
upper,true,Operation,true,false
ownedType,true,Package,true,false
superGroup,true,[Abstract] ActivityGroup,true,false
_actionOfLocalPostcondition,true,Constraint,false,true
action,true,Interaction,true,true
_structuralFeatureActionOfStructuralFeature,true,[Abstract] StructuralFeature,false,false
_activityNodeOfRedefinedNode,true,[Abstract] ActivityNode,false,false
context,true,Diagram,true,true
collaborationRole,true,Collaboration,true,true
target,true,[Abstract] DirectedRelationship,true,false
extendedSignature,true,RedefinableTemplateSignature,true,true
provided,true,Component,true,false
location,true,Image,true,true
ownedLiteral,true,Enumeration,true,true
_interactionUseOfReturnValueRecipient,true,Property,false,false
_protocolConformanceOfGeneralMachine,true,ProtocolStateMachine,false,false
_linkActionOfEndData,true,LinkEndData,false,true
deployment,true,[Abstract] DeploymentTarget,true,true
annotatedElement,true,Comment,true,true
_startClassifierBehaviorActionOfObject,true,InputPin,false,true
exceptionInput,true,ExceptionHandler,true,true
outgoing,true,[Abstract] Vertex,true,false
_profileOfMetaclassReference,true,ElementImport,false,true
informationSource,true,InformationFlow,true,true
_decisionNodeOfDecisionInputFlow,true,ObjectFlow,false,false
reducer,true,ReduceAction,true,true
guard,true,Message,true,true
_loopNodeOfResult,true,OutputPin,false,true
_extensionOfOwnedEnd,true,ExtensionEnd,false,false
newClassifier,true,ReclassifyObjectAction,true,true
ownedParameter,true,[Abstract] Behavior,true,true
attribute,true,[Abstract] Classifier,true,false
